ClientID,Key,MetaData,Generation,DataSize,FetchCount,LastFetched,LastModified,ExpirationTime,ItemType
http%3A//fischerliu.net63.net/hostedappcache/app.appcache%23%5EappId%3D1077|0000001449693458|0,http://fischerliu.net63.net/hostedappcache/index.html,<72657175 6573742d 6d657468 6f640047 45540072 6573706f 6e73652d 68656164 00485454 502f312e 31203230 30204f4b 0d0a4461 74653a20 4672692c 20303420 44656320 32303135 2030323a 35343a33 3020474d 540d0a4c 6173742d 4d6f6469 66696564 3a204570 6f63680d 0a436163 68652d43 6f6e7472 6f6c3a20 6e6f2d63 61636865 0d0a00>,0,410,1,1449693460000000,1449693466000000,0,2
http%3A//fischerliu.net63.net/hostedappcache/app.appcache%23%5EappId%3D1077|0000001449693458|0,http://fischerliu.net63.net/hostedappcache/offline.html,<72657175 6573742d 6d657468 6f640047 45540072 6573706f 6e73652d 68656164 00485454 502f312e 31203230 30204f4b 0d0a4461 74653a20 4672692c 20303420 44656320 32303135 2030323a 35343a33 3120474d 540d0a4c 6173742d 4d6f6469 66696564 3a204570 6f63680d 0a436163 68652d43 6f6e7472 6f6c3a20 6e6f2d63 61636865 0d0a00>,0,336,1,1449693460000000,1449693466000000,0,2
http%3A//fischerliu.net63.net/hostedappcache/app.appcache%23%5EappId%3D1077|0000001449693458|0,http://fischerliu.net63.net/hostedappcache/js/index.js,<72657175 6573742d 6d657468 6f640047 45540072 6573706f 6e73652d 68656164 00485454 502f312e 31203230 30204f4b 0d0a4461 74653a20 4672692c 20303420 44656320 32303135 2030323a 35343a33 3120474d 540d0a4c 6173742d 4d6f6469 66696564 3a204672 692c2030 34204465 63203230 31352030 323a3530 3a303920 474d540d 0a436163 68652d43 6f6e7472 6f6c3a20 6e6f2d63 61636865 0d0a00>,0,238,1,1449693460000000,1449693466000000,0,2
http%3A//fischerliu.net63.net/hostedappcache/app.appcache%23%5EappId%3D1077|0000001449693458|0,http://fischerliu.net63.net/hostedappcache/css/offline.css,<72657175 6573742d 6d657468 6f640047 45540072 6573706f 6e73652d 68656164 00485454 502f312e 31203230 30204f4b 0d0a4461 74653a20 4672692c 20303420 44656320 32303135 2030323a 35343a33 3220474d 540d0a4c 6173742d 4d6f6469 66696564 3a205468 752c2030 33204465 63203230 31352031 383a3333 3a343420 474d540d 0a436163 68652d43 6f6e7472 6f6c3a20 6e6f2d63 61636865 0d0a00>,0,41,1,1449693460000000,1449693466000000,0,2
http%3A//fischerliu.net63.net/hostedappcache/app.appcache%23%5EappId%3D1077|0000001449693458|0,http://fischerliu.net63.net/hostedappcache/image/W_launchicon_16_1101.png,<72657175 6573742d 6d657468 6f640047 45540072 6573706f 6e73652d 68656164 00485454 502f312e 31203230 30204f4b 0d0a4461 74653a20 4672692c 20303420 44656320 32303135 2030323a 35343a33 3320474d 540d0a4c 6173742d 4d6f6469 66696564 3a205475 652c2032 34204e6f 76203230 31352031 343a3334 3a303420 474d540d 0a436163 68652d43 6f6e7472 6f6c3a20 6e6f2d63 61636865 0d0a00>,0,17249,1,1449693460000000,1449693466000000,0,2
http%3A//fischerliu.net63.net/hostedappcache/app.appcache%23%5EappId%3D1077|0000001449693458|0,http://fischerliu.net63.net/hostedappcache/image/W_launchicon_48_1101.png,<72657175 6573742d 6d657468 6f640047 45540072 6573706f 6e73652d 68656164 00485454 502f312e 31203230 30204f4b 0d0a4461 74653a20 4672692c 20303420 44656320 32303135 2030323a 35343a33 3520474d 540d0a4c 6173742d 4d6f6469 66696564 3a205475 652c2032 34204e6f 76203230 31352031 343a3334 3a303420 474d540d 0a436163 68652d43 6f6e7472 6f6c3a20 6e6f2d63 61636865 0d0a00>,0,17249,1,1449693460000000,1449693466000000,0,2
http%3A//fischerliu.net63.net/hostedappcache/app.appcache%23%5EappId%3D1077|0000001449693458|0,http://fischerliu.net63.net/hostedappcache/image/W_launchicon_128_1101.png,<72657175 6573742d 6d657468 6f640047 45540072 6573706f 6e73652d 68656164 00485454 502f312e 31203230 30204f4b 0d0a4461 74653a20 4672692c 20303420 44656320 32303135 2030323a 35343a33 3620474d 540d0a4c 6173742d 4d6f6469 66696564 3a205475 652c2032 34204e6f 76203230 31352031 343a3334 3a303420 474d540d 0a436163 68652d43 6f6e7472 6f6c3a20 6e6f2d63 61636865 0d0a00>,0,17249,1,1449693460000000,1449693466000000,0,2
http%3A//fischerliu.net63.net/hostedappcache/app.appcache%23%5EappId%3D1077|0000001449693458|0,http://fischerliu.net63.net/hostedappcache/app.appcache,<72657175 6573742d 6d657468 6f640047 45540072 6573706f 6e73652d 68656164 00485454 502f312e 31203230 30204f4b 0d0a4461 74653a20 5765642c 20303920 44656320 32303135 2032303a 33373a34 3020474d 540d0a4c 6173742d 4d6f6469 66696564 3a205765 642c2030 39204465 63203230 31352032 303a3337 3a343020 474d540d 0a436163 68652d43 6f6e7472 6f6c3a20 6e6f2d63 61636865 0d0a00>,0,309,1,1449693460000000,1449693466000000,0,1
https%3A//bits.wikimedia.org/WikipediaMobileFirefoxOS/app.appcache%23%5EappId%3D1078|0000001449693458|1,https://bits.wikimedia.org/WikipediaMobileFirefoxOS/index.html,<72657175 6573742d 6d657468 6f640047 45540072 6573706f 6e73652d 68656164 00485454 502f312e 31203230 30204f4b 0d0a4461 74653a20 5475652c 20303120 44656320 32303135 2030373a 30363a30 3920474d 540d0a4c 6173742d 4d6f6469 66696564 3a205375 6e2c2032 36204a75 6c203230 31352032 303a3530 3a303720 474d540d 0a436163 68652d43 6f6e7472 6f6c3a20 6e6f2d63 61636865 0d0a00>,0,9402,1,1449693462000000,1449693466000000,0,2
https%3A//bits.wikimedia.org/WikipediaMobileFirefoxOS/app.appcache%23%5EappId%3D1078|0000001449693458|1,https://bits.wikimedia.org/WikipediaMobileFirefoxOS/404.html,<72657175 6573742d 6d657468 6f640047 45540072 6573706f 6e73652d 68656164 00485454 502f312e 31203230 30204f4b 0d0a4461 74653a20 5475652c 20303120 44656320 32303135 2030373a 30363a31 3020474d 540d0a4c 6173742d 4d6f6469 66696564 3a205375 6e2c2032 36204a75 6c203230 31352032 303a3530 3a303720 474d540d 0a436163 68652d43 6f6e7472 6f6c3a20 6e6f2d63 61636865 0d0a00>,0,173,1,1449693462000000,1449693466000000,0,2
